,Topic0,Topic1,Topic2,Topic3,Topic4,Topic5,Topic6,Topic7,Topic8,Topic9,dominant_topic
Doc135,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.55,0.05,0.05,7
Doc136,0.05,0.05,0.05,0.05,0.05,0.55,0.05,0.05,0.05,0.05,5
Doc137,0.02,0.82,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
Doc138,0.02,0.02,0.02,0.35,0.02,0.49,0.02,0.02,0.02,0.02,5
Doc139,0.03,0.03,0.03,0.03,0.03,0.27,0.53,0.03,0.03,0.03,6
Doc140,0.03,0.7,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,1
Doc141,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0
Doc142,0.03,0.03,0.7,0.03,0.03,0.03,0.03,0.03,0.03,0.03,2
Doc143,0.42,0.22,0.02,0.02,0.22,0.02,0.02,0.02,0.02,0.02,0
Doc144,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.77,9
Doc145,0.03,0.32,0.03,0.03,0.03,0.03,0.41,0.03,0.03,0.03,6
Doc146,0.02,0.02,0.02,0.35,0.02,0.02,0.02,0.21,0.02,0.32,3
Doc147,0.03,0.32,0.03,0.03,0.03,0.03,0.41,0.03,0.03,0.03,6
Doc148,0.01,0.01,0.26,0.14,0.01,0.26,0.01,0.01,0.26,0.01,2
Doc149,0.01,0.01,0.01,0.26,0.01,0.01,0.01,0.01,0.64,0.01,8
Doc150,0.02,0.02,0.02,0.02,0.23,0.16,0.02,0.5,0.02,0.02,7
Doc151,0.02,0.02,0.02,0.02,0.22,0.42,0.22,0.02,0.02,0.02,5
Doc152,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0
Doc153,0.02,0.02,0.82,0.02,0.02,0.02,0.02,0.02,0.02,0.02,2
Doc154,0.01,0.01,0.01,0.51,0.01,0.01,0.01,0.01,0.38,0.01,3
Doc155,0.02,0.02,0.02,0.02,0.02,0.54,0.02,0.02,0.02,0.3,5
Doc156,0.03,0.7,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,1
Doc157,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.53,0.03,0.27,7
Doc158,0.7,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0
Doc159,0.01,0.01,0.01,0.01,0.01,0.36,0.01,0.01,0.54,0.01,8
Doc160,0.03,0.03,0.03,0.03,0.3,0.03,0.03,0.03,0.03,0.5,9
Doc161,0.03,0.03,0.03,0.7,0.03,0.03,0.03,0.03,0.03,0.03,3
Doc162,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0
Doc163,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0
Doc164,0.03,0.03,0.03,0.03,0.03,0.37,0.03,0.03,0.37,0.03,5
Doc165,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.55,0.05,0.05,7
Doc166,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0
Doc167,0.02,0.02,0.02,0.02,0.42,0.02,0.02,0.42,0.02,0.02,4
Doc168,0.02,0.25,0.02,0.02,0.22,0.39,0.02,0.02,0.02,0.02,5
Doc169,0.7,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0
Doc170,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0
Doc171,0.03,0.03,0.03,0.03,0.03,0.03,0.39,0.03,0.03,0.34,6
Doc172,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.37,0.37,0.03,7
Doc173,0.03,0.03,0.03,0.03,0.37,0.03,0.03,0.37,0.03,0.03,4
Doc174,0.03,0.03,0.37,0.03,0.03,0.37,0.03,0.03,0.03,0.03,2
Doc175,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0
Doc176,0.02,0.02,0.22,0.02,0.02,0.62,0.02,0.02,0.02,0.02,5
Doc177,0.01,0.01,0.01,0.39,0.14,0.01,0.01,0.01,0.38,0.01,3
Doc178,0.03,0.03,0.49,0.03,0.03,0.03,0.03,0.03,0.25,0.03,2
Doc179,0.02,0.02,0.18,0.25,0.02,0.02,0.02,0.02,0.45,0.02,8
Doc180,0.03,0.03,0.03,0.37,0.03,0.2,0.03,0.03,0.2,0.03,3
Doc181,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.77,0.03,0.03,7
Doc182,0.02,0.2,0.02,0.02,0.02,0.02,0.24,0.02,0.41,0.02,8
Doc183,0.42,0.02,0.02,0.02,0.02,0.42,0.02,0.02,0.02,0.02,0
Doc184,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.7,0.03,8
Doc185,0.02,0.02,0.37,0.02,0.02,0.27,0.22,0.02,0.02,0.02,2
Doc186,0.02,0.02,0.22,0.02,0.62,0.02,0.02,0.02,0.02,0.02,4
Doc187,0.03,0.03,0.03,0.03,0.27,0.27,0.28,0.03,0.03,0.03,6
Doc188,0.03,0.03,0.03,0.37,0.03,0.03,0.03,0.03,0.36,0.03,3
Doc189,0.01,0.01,0.22,0.2,0.01,0.01,0.01,0.21,0.31,0.01,8
Doc190,0.05,0.05,0.05,0.05,0.05,0.05,0.55,0.05,0.05,0.05,6
Doc191,0.03,0.03,0.03,0.03,0.41,0.32,0.03,0.03,0.03,0.03,4
Doc192,0.05,0.05,0.05,0.05,0.55,0.05,0.05,0.05,0.05,0.05,4
Doc193,0.05,0.55,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,1
Doc194,0.03,0.03,0.37,0.03,0.03,0.03,0.03,0.03,0.03,0.37,2
Doc195,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.55,0.05,8
Doc196,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.77,0.03,8
Doc197,0.01,0.48,0.01,0.14,0.01,0.3,0.01,0.01,0.01,0.01,1
Doc198,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.55,9
Doc199,0.02,0.02,0.02,0.02,0.82,0.02,0.02,0.02,0.02,0.02,4
Doc200,0.03,0.03,0.03,0.03,0.32,0.03,0.42,0.03,0.03,0.03,6
Doc201,0.03,0.03,0.03,0.77,0.03,0.03,0.03,0.03,0.03,0.03,3
Doc202,0.02,0.02,0.02,0.02,0.02,0.16,0.02,0.37,0.18,0.19,7
Doc203,0.03,0.03,0.52,0.03,0.27,0.03,0.03,0.03,0.03,0.03,2
Doc204,0.55,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0
Doc205,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0
Doc206,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.55,9
Doc207,0.02,0.02,0.02,0.62,0.02,0.22,0.02,0.02,0.02,0.02,3
Doc208,0.02,0.02,0.02,0.02,0.82,0.02,0.02,0.02,0.02,0.02,4
Doc209,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0
Doc210,0.01,0.18,0.01,0.14,0.01,0.01,0.01,0.26,0.35,0.01,8
Doc211,0.03,0.7,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,1
Doc212,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.55,9
Doc213,0.02,0.02,0.33,0.02,0.22,0.02,0.02,0.31,0.02,0.02,2
Doc214,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.55,0.05,8
Doc215,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.7,0.03,8
Doc216,0.02,0.02,0.22,0.3,0.02,0.02,0.02,0.02,0.34,0.02,8
Doc217,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0
Doc218,0.03,0.03,0.03,0.03,0.7,0.03,0.03,0.03,0.03,0.03,4
Doc219,0.18,0.01,0.17,0.13,0.17,0.01,0.01,0.01,0.28,0.01,8
Doc220,0.03,0.03,0.03,0.03,0.7,0.03,0.03,0.03,0.03,0.03,4
Doc221,0.05,0.05,0.05,0.05,0.05,0.05,0.55,0.05,0.05,0.05,6
Doc222,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0
Doc223,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0
Doc224,0.03,0.37,0.03,0.03,0.37,0.03,0.03,0.03,0.03,0.03,1
Doc225,0.03,0.03,0.03,0.37,0.03,0.03,0.03,0.37,0.03,0.03,3
Doc226,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0
Doc227,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0
Doc228,0.03,0.03,0.03,0.03,0.43,0.37,0.03,0.03,0.03,0.03,4
Doc229,0.03,0.03,0.03,0.29,0.03,0.03,0.03,0.03,0.51,0.03,8
Doc230,0.02,0.02,0.6,0.02,0.02,0.02,0.24,0.02,0.02,0.02,2
Doc231,0.01,0.01,0.16,0.16,0.01,0.01,0.01,0.44,0.16,0.01,7
Doc232,0.01,0.3,0.3,0.01,0.01,0.01,0.01,0.16,0.01,0.16,1
Doc233,0.02,0.02,0.35,0.02,0.02,0.02,0.22,0.18,0.02,0.15,2
Doc234,0.3,0.03,0.5,0.03,0.03,0.03,0.03,0.03,0.03,0.03,2
Doc235,0.05,0.05,0.55,0.05,0.05,0.05,0.05,0.05,0.05,0.05,2
Doc236,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.55,0.05,0.05,7
Doc237,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0
Doc238,0.05,0.05,0.05,0.55,0.05,0.05,0.05,0.05,0.05,0.05,3
Doc239,0.02,0.02,0.02,0.02,0.02,0.37,0.02,0.02,0.47,0.02,8
Doc240,0.02,0.42,0.22,0.02,0.02,0.02,0.02,0.02,0.02,0.22,1
Doc241,0.03,0.03,0.03,0.03,0.03,0.03,0.37,0.03,0.37,0.03,6
Doc242,0.02,0.02,0.02,0.02,0.18,0.02,0.02,0.18,0.02,0.52,9
Doc243,0.01,0.69,0.19,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1
Doc244,0.01,0.34,0.27,0.31,0.01,0.01,0.01,0.01,0.01,0.01,1
Doc245,0.03,0.03,0.03,0.03,0.03,0.03,0.7,0.03,0.03,0.03,6
Doc246,0.16,0.01,0.58,0.01,0.01,0.01,0.17,0.01,0.01,0.01,2
Doc247,0.05,0.05,0.05,0.55,0.05,0.05,0.05,0.05,0.05,0.05,3
Doc248,0.03,0.03,0.27,0.31,0.03,0.03,0.03,0.03,0.24,0.03,3
Doc249,0.03,0.03,0.03,0.03,0.03,0.03,0.7,0.03,0.03,0.03,6
Doc250,0.03,0.03,0.37,0.03,0.37,0.03,0.03,0.03,0.03,0.03,2
Doc251,0.01,0.01,0.01,0.01,0.01,0.44,0.01,0.22,0.16,0.1,5
Doc252,0.05,0.05,0.05,0.05,0.05,0.55,0.05,0.05,0.05,0.05,5
Doc253,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0
Doc254,0.03,0.03,0.03,0.03,0.03,0.7,0.03,0.03,0.03,0.03,5
Doc255,0.01,0.3,0.16,0.01,0.01,0.3,0.01,0.01,0.16,0.01,1
Doc256,0.03,0.03,0.03,0.53,0.03,0.03,0.03,0.03,0.03,0.27,3
Doc257,0.01,0.01,0.16,0.01,0.01,0.42,0.01,0.18,0.16,0.01,5
Doc258,0.03,0.03,0.03,0.03,0.03,0.77,0.03,0.03,0.03,0.03,5
Doc259,0.03,0.27,0.03,0.03,0.03,0.03,0.33,0.03,0.03,0.22,6
Doc260,0.02,0.02,0.02,0.18,0.02,0.3,0.02,0.4,0.02,0.02,7
Doc261,0.42,0.02,0.02,0.02,0.02,0.02,0.02,0.42,0.02,0.02,0
Doc262,0.01,0.16,0.01,0.01,0.01,0.24,0.01,0.18,0.01,0.34,9
Doc263,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.55,0.05,8
Doc264,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.55,0.05,0.05,7
Doc265,0.05,0.05,0.55,0.05,0.05,0.05,0.05,0.05,0.05,0.05,2
Doc266,0.02,0.02,0.02,0.52,0.02,0.18,0.18,0.02,0.02,0.02,3
Doc267,0.05,0.05,0.05,0.05,0.05,0.55,0.05,0.05,0.05,0.05,5
Doc268,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.7,9
Doc269,0.18,0.18,0.02,0.02,0.02,0.02,0.35,0.18,0.02,0.02,6
Doc270,0.28,0.03,0.03,0.03,0.03,0.03,0.52,0.03,0.03,0.03,6
Doc271,0.01,0.23,0.01,0.68,0.01,0.01,0.01,0.01,0.01,0.01,3
Doc272,0.03,0.03,0.03,0.03,0.03,0.77,0.03,0.03,0.03,0.03,5
Doc273,0.03,0.03,0.03,0.03,0.37,0.03,0.03,0.37,0.03,0.03,4
Doc274,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.55,0.05,0.05,7
Doc275,0.03,0.03,0.03,0.03,0.03,0.03,0.27,0.52,0.03,0.03,7
Doc276,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.39,0.01,0.51,9
Doc277,0.02,0.02,0.42,0.02,0.02,0.42,0.02,0.02,0.02,0.02,2
Doc278,0.37,0.02,0.02,0.02,0.02,0.02,0.49,0.02,0.02,0.02,6
Doc279,0.05,0.05,0.05,0.55,0.05,0.05,0.05,0.05,0.05,0.05,3
Doc280,0.18,0.02,0.02,0.02,0.02,0.19,0.02,0.02,0.51,0.02,8
Doc281,0.01,0.16,0.3,0.01,0.01,0.3,0.01,0.01,0.01,0.16,2
Doc282,0.02,0.02,0.02,0.02,0.62,0.02,0.22,0.02,0.02,0.02,4
Doc283,0.03,0.03,0.03,0.7,0.03,0.03,0.03,0.03,0.03,0.03,3
Doc284,0.01,0.01,0.2,0.01,0.01,0.01,0.57,0.01,0.15,0.01,6
Doc285,0.03,0.03,0.03,0.03,0.03,0.03,0.37,0.03,0.37,0.03,6
Doc286,0.03,0.7,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,1
Doc287,0.03,0.03,0.03,0.27,0.03,0.03,0.03,0.03,0.52,0.03,8
Doc288,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0
Doc289,0.03,0.03,0.03,0.27,0.03,0.03,0.03,0.52,0.03,0.03,7
Doc290,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0
Doc291,0.16,0.01,0.01,0.01,0.29,0.01,0.01,0.01,0.26,0.21,4
Doc292,0.05,0.05,0.05,0.05,0.05,0.05,0.55,0.05,0.05,0.05,6
Doc293,0.03,0.03,0.03,0.28,0.03,0.03,0.27,0.28,0.03,0.03,3
Doc294,0.03,0.03,0.37,0.03,0.03,0.03,0.03,0.03,0.03,0.37,2
Doc295,0.03,0.03,0.03,0.03,0.37,0.03,0.03,0.37,0.03,0.03,4
Doc296,0.15,0.02,0.02,0.02,0.02,0.02,0.02,0.29,0.42,0.02,8
Doc297,0.03,0.03,0.03,0.03,0.7,0.03,0.03,0.03,0.03,0.03,4
Doc298,0.02,0.02,0.21,0.02,0.02,0.02,0.02,0.49,0.18,0.02,7
Doc299,0.02,0.02,0.02,0.02,0.02,0.62,0.02,0.22,0.02,0.02,5
Doc300,0.03,0.29,0.03,0.51,0.03,0.03,0.03,0.03,0.03,0.03,3
Doc301,0.02,0.02,0.02,0.62,0.02,0.02,0.02,0.02,0.02,0.22,3
Doc302,0.02,0.02,0.02,0.02,0.02,0.02,0.22,0.42,0.22,0.02,7
Doc303,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.55,0.05,8
Doc304,0.03,0.03,0.03,0.03,0.3,0.03,0.03,0.03,0.5,0.03,8
Doc305,0.02,0.2,0.18,0.02,0.5,0.02,0.02,0.02,0.02,0.02,4
Doc306,0.02,0.02,0.22,0.02,0.02,0.42,0.02,0.22,0.02,0.02,5
Doc307,0.03,0.03,0.03,0.03,0.03,0.48,0.03,0.03,0.32,0.03,5
Doc308,0.03,0.03,0.03,0.03,0.27,0.26,0.03,0.29,0.03,0.03,7
Doc309,0.03,0.03,0.03,0.03,0.03,0.37,0.03,0.03,0.03,0.37,5
Doc310,0.03,0.03,0.03,0.03,0.27,0.26,0.03,0.29,0.03,0.03,7
Doc311,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.55,9
Doc312,0.01,0.01,0.19,0.01,0.28,0.01,0.14,0.01,0.32,0.01,8
Doc313,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0
Doc314,0.05,0.05,0.55,0.05,0.05,0.05,0.05,0.05,0.05,0.05,2
Doc315,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.62,0.02,0.22,7
Doc316,0.03,0.03,0.03,0.03,0.03,0.35,0.03,0.39,0.03,0.03,7
Doc317,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.37,0.37,8
Doc318,0.03,0.49,0.31,0.03,0.03,0.03,0.03,0.03,0.03,0.03,1
Doc319,0.03,0.03,0.03,0.7,0.03,0.03,0.03,0.03,0.03,0.03,3
Doc320,0.01,0.73,0.01,0.01,0.16,0.01,0.01,0.01,0.01,0.01,1
Doc321,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0
Doc322,0.05,0.05,0.05,0.05,0.05,0.55,0.05,0.05,0.05,0.05,5
Doc323,0.05,0.55,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,1
Doc324,0.03,0.03,0.03,0.03,0.03,0.52,0.27,0.03,0.03,0.03,5
Doc325,0.03,0.03,0.03,0.03,0.37,0.37,0.03,0.03,0.03,0.03,4
Doc326,0.03,0.42,0.31,0.03,0.03,0.03,0.03,0.03,0.03,0.03,1
Doc327,0.03,0.03,0.03,0.03,0.03,0.03,0.37,0.03,0.37,0.03,6
Doc328,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0
Doc329,0.03,0.03,0.03,0.03,0.77,0.03,0.03,0.03,0.03,0.03,4
Doc330,0.03,0.27,0.28,0.03,0.03,0.03,0.03,0.03,0.03,0.27,2
Doc331,0.02,0.02,0.02,0.42,0.42,0.02,0.02,0.02,0.02,0.02,3
Doc332,0.23,0.37,0.01,0.01,0.01,0.01,0.16,0.16,0.01,0.01,1
Doc333,0.05,0.05,0.05,0.05,0.05,0.55,0.05,0.05,0.05,0.05,5
Doc334,0.05,0.05,0.05,0.05,0.05,0.05,0.55,0.05,0.05,0.05,6
Doc335,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0
Doc336,0.55,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0
Doc337,0.03,0.37,0.03,0.03,0.03,0.03,0.03,0.37,0.03,0.03,1
Doc338,0.01,0.25,0.15,0.1,0.01,0.34,0.01,0.1,0.01,0.01,5
Doc339,0.03,0.36,0.03,0.03,0.03,0.03,0.03,0.37,0.03,0.03,7
Doc340,0.03,0.27,0.03,0.52,0.03,0.03,0.03,0.03,0.03,0.03,3
Doc341,0.03,0.03,0.03,0.03,0.03,0.77,0.03,0.03,0.03,0.03,5
Doc342,0.05,0.05,0.05,0.05,0.05,0.55,0.05,0.05,0.05,0.05,5
Doc343,0.01,0.01,0.16,0.01,0.18,0.16,0.01,0.01,0.27,0.16,8
Doc344,0.03,0.03,0.03,0.03,0.03,0.03,0.7,0.03,0.03,0.03,6
Doc345,0.01,0.01,0.01,0.44,0.01,0.01,0.23,0.01,0.22,0.01,3
Doc346,0.05,0.55,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,1
Doc347,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.77,0.03,8
Doc348,0.03,0.03,0.03,0.03,0.52,0.03,0.03,0.03,0.27,0.03,4
Doc349,0.37,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.37,0.03,0
Doc350,0.03,0.03,0.37,0.03,0.37,0.03,0.03,0.03,0.03,0.03,2
Doc351,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0
Doc352,0.37,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.37,0
Doc353,0.03,0.03,0.37,0.37,0.03,0.03,0.03,0.03,0.03,0.03,2
Doc354,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0
Doc355,0.01,0.4,0.01,0.01,0.01,0.01,0.01,0.18,0.01,0.33,1
Doc356,0.01,0.18,0.01,0.26,0.12,0.01,0.01,0.13,0.24,0.01,3
Doc357,0.01,0.01,0.01,0.01,0.01,0.16,0.44,0.3,0.01,0.01,6
Doc358,0.02,0.82,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
Doc359,0.02,0.02,0.02,0.02,0.02,0.35,0.18,0.02,0.02,0.35,5
Doc360,0.02,0.23,0.41,0.02,0.02,0.22,0.02,0.02,0.02,0.02,2
Doc361,0.22,0.02,0.02,0.25,0.39,0.02,0.02,0.02,0.02,0.02,4
Doc362,0.37,0.03,0.37,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0
Doc363,0.03,0.37,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.37,1
Doc364,0.03,0.03,0.03,0.03,0.37,0.37,0.03,0.03,0.03,0.03,4
Doc365,0.05,0.05,0.05,0.05,0.05,0.55,0.05,0.05,0.05,0.05,5
Doc366,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0
Doc367,0.05,0.05,0.55,0.05,0.05,0.05,0.05,0.05,0.05,0.05,2
Doc368,0.27,0.03,0.03,0.03,0.03,0.28,0.03,0.03,0.27,0.03,5
Doc369,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.7,9
Doc370,0.05,0.05,0.05,0.05,0.55,0.05,0.05,0.05,0.05,0.05,4
Doc371,0.03,0.03,0.03,0.03,0.37,0.03,0.37,0.03,0.03,0.03,4
Doc372,0.03,0.03,0.27,0.27,0.27,0.03,0.03,0.03,0.03,0.03,2
Doc373,0.05,0.05,0.05,0.05,0.05,0.55,0.05,0.05,0.05,0.05,5
Doc374,0.01,0.01,0.01,0.73,0.16,0.01,0.01,0.01,0.01,0.01,3
Doc375,0.03,0.03,0.03,0.28,0.03,0.03,0.03,0.03,0.52,0.03,8
Doc376,0.02,0.85,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
Doc377,0.02,0.18,0.02,0.02,0.02,0.52,0.02,0.02,0.02,0.18,5
Doc378,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.42,0.42,0.02,7
Doc379,0.02,0.02,0.02,0.02,0.36,0.51,0.02,0.02,0.02,0.02,5
Doc380,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.55,0.05,8
Doc381,0.03,0.46,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.34,1
Doc382,0.24,0.13,0.01,0.23,0.12,0.01,0.01,0.01,0.22,0.01,0
Doc383,0.05,0.55,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,1
Doc384,0.05,0.05,0.05,0.05,0.55,0.05,0.05,0.05,0.05,0.05,4
Doc385,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0
Doc386,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0
Doc387,0.02,0.02,0.02,0.02,0.02,0.23,0.02,0.02,0.61,0.02,8
Doc388,0.05,0.05,0.05,0.05,0.55,0.05,0.05,0.05,0.05,0.05,4
Doc389,0.55,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0
Doc390,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0
Doc391,0.02,0.22,0.22,0.02,0.42,0.02,0.02,0.02,0.02,0.02,4
Doc392,0.02,0.02,0.26,0.02,0.02,0.02,0.02,0.41,0.02,0.19,7
Doc393,0.03,0.03,0.03,0.03,0.37,0.03,0.03,0.03,0.37,0.03,4
Doc394,0.05,0.05,0.05,0.55,0.05,0.05,0.05,0.05,0.05,0.05,3
Doc395,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.37,0.37,0.03,7
Doc396,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0
Doc397,0.05,0.05,0.05,0.05,0.55,0.05,0.05,0.05,0.05,0.05,4
Doc398,0.03,0.77,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,1
Doc399,0.02,0.02,0.02,0.82,0.02,0.02,0.02,0.02,0.02,0.02,3
Doc400,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.37,0.37,8
Doc401,0.03,0.37,0.37,0.03,0.03,0.03,0.03,0.03,0.03,0.03,1
Doc402,0.47,0.03,0.33,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0
Doc403,0.01,0.01,0.01,0.01,0.49,0.11,0.01,0.3,0.01,0.01,4
Doc404,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.66,0.02,0.21,7
Doc405,0.01,0.01,0.01,0.3,0.21,0.24,0.01,0.01,0.01,0.17,3
Doc406,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.55,9
Doc407,0.03,0.03,0.03,0.03,0.53,0.27,0.03,0.03,0.03,0.03,4
Doc408,0.03,0.03,0.03,0.03,0.39,0.03,0.03,0.03,0.41,0.03,8
Doc409,0.17,0.18,0.01,0.39,0.14,0.01,0.01,0.09,0.01,0.01,3
Doc410,0.38,0.15,0.02,0.02,0.02,0.02,0.35,0.02,0.02,0.02,0
Doc411,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0
Doc412,0.03,0.32,0.03,0.03,0.48,0.03,0.03,0.03,0.03,0.03,4
Doc413,0.05,0.55,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,1
Doc414,0.01,0.3,0.01,0.01,0.01,0.2,0.01,0.01,0.4,0.01,8
Doc415,0.03,0.03,0.03,0.03,0.48,0.03,0.03,0.03,0.26,0.03,4
Doc416,0.03,0.03,0.03,0.03,0.48,0.03,0.03,0.03,0.26,0.03,4
Doc417,0.03,0.03,0.03,0.03,0.03,0.52,0.03,0.03,0.27,0.03,5
Doc418,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0
Doc419,0.03,0.03,0.03,0.03,0.03,0.03,0.77,0.03,0.03,0.03,6
Doc420,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.55,0.05,0.05,7
Doc421,0.05,0.05,0.05,0.05,0.05,0.05,0.55,0.05,0.05,0.05,6
Doc422,0.03,0.03,0.37,0.03,0.03,0.03,0.03,0.03,0.03,0.37,2
Doc423,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.7,9
Doc424,0.05,0.05,0.05,0.55,0.05,0.05,0.05,0.05,0.05,0.05,3
Doc425,0.03,0.03,0.03,0.03,0.5,0.3,0.03,0.03,0.03,0.03,4
Doc426,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0
Doc427,0.03,0.03,0.03,0.03,0.7,0.03,0.03,0.03,0.03,0.03,4
Doc428,0.05,0.55,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,1
Doc429,0.02,0.02,0.52,0.02,0.02,0.02,0.02,0.18,0.18,0.02,2
Doc430,0.02,0.02,0.02,0.02,0.22,0.02,0.02,0.02,0.62,0.02,8
